Plan_ID,Cluster,Plan_Level,Monthly_Price,Day_Allowance_Mins,Evening_Allowance_Mins,Night_Allowance_Mins,International_Allowance_Mins,Target_Total_Calls
P01,0,Basic,250,230,240,240,15,251
P02,0,Standard,250,280,300,300,19,314
P03,0,Plus,300,360,380,380,23,393
P04,0,Premium,350,430,450,450,28,471
P05,0,Ultra,450,570,600,600,37,629
P06,1,Basic,200,120,200,200,11,243
P07,1,Standard,200,150,250,250,13,303
P08,1,Plus,250,190,310,310,17,379
P09,1,Premium,300,220,370,380,20,455
P10,1,Ultra,350,300,490,500,27,607
P11,2,Basic,200,160,170,180,11,228
P12,2,Standard,200,200,220,220,13,285
P13,2,Plus,250,250,270,280,17,357
P14,2,Premium,300,300,330,340,20,428
P15,2,Ultra,350,400,430,450,27,571
P16,3,Basic,200,190,170,160,11,242
P17,3,Standard,250,240,210,200,14,303
P18,3,Plus,250,300,260,250,17,379
P19,3,Premium,300,360,310,300,20,454
P20,3,Ultra,350,480,420,400,27,606
P21,4,Basic,250,240,250,250,15,379
P22,4,Standard,250,300,310,310,19,474
P23,4,Plus,300,380,390,390,24,593
P24,4,Premium,350,450,470,470,29,712
P25,4,Ultra,450,610,620,620,38,949
