Customer_ID,Day Mins,Eve Mins,Night Mins,Intl Mins
327-1058,166.0,74.6,247.9,6.3
327-1319,182.1,164.6,128.8,12.7
327-3053,110.9,158.5,207.5,6.2
327-3587,87.2,169.3,166.7,10.9
327-3850,149.0,245.3,260.0,8.3
327-3954,198.2,207.3,190.9,8.7
327-4795,230.4,225.0,198.5,7.6
327-5525,143.5,242.6,147.7,11.3
327-5817,179.9,189.2,164.3,12.8
327-6087,146.9,114.3,114.5,11.4
327-6179,168.8,220.3,154.3,10.9
327-6194,212.3,228.4,163.3,7.7
327-6764,162.3,212.5,214.7,11.1
327-6989,248.9,170.8,104.5,11.2
327-8495,232.1,327.1,226.5,10.9
327-8732,221.7,236.1,192.7,8.0
327-9289,142.1,193.0,253.4,11.0
327-9341,146.4,89.7,220.0,15.6
327-9957,51.5,164.0,169.4,9.5
328-1206,243.9,133.0,213.7,13.4
328-1222,188.8,217.4,220.1,8.2
328-1373,149.2,161.9,197.9,8.3
328-1522,175.4,248.1,122.4,12.2
328-1768,187.5,169.8,175.3,12.1
328-2110,144.0,181.6,128.1,12.3
328-2236,112.7,217.7,152.1,6.5
328-2478,229.3,184.5,168.2,8.8
328-2647,203.5,289.6,212.9,8.7
328-2982,69.4,190.8,219.9,8.9
328-3266,239.8,214.8,143.3,8.7
328-3402,191.6,205.6,210.2,9.2
328-4231,191.8,267.8,200.5,12.8
328-5050,243.1,231.4,180.9,7.8
328-5188,287.4,259.6,153.2,10.0
328-6011,234.4,279.3,234.2,2.0
328-6289,157.6,247.0,259.2,13.7
328-6770,151.4,186.4,172.5,10.9
328-7209,198.9,274.0,190.7,14.3
328-7252,185.9,212.0,282.3,11.3
328-7833,227.1,120.5,117.0,4.7
328-8147,153.5,194.0,256.5,10.2
328-8179,156.7,236.5,123.2,12.6
328-8230,180.8,288.8,191.9,14.1
328-8747,135.2,242.0,246.9,10.2
328-8808,137.0,217.0,182.1,10.0
328-8980,239.9,261.6,207.1,8.9
328-9006,139.2,191.4,286.5,11.8
328-9267,90.0,276.3,185.2,8.6
328-9315,230.5,265.8,269.7,10.6
328-9797,261.8,245.0,202.1,14.7
328-9869,162.3,213.7,192.1,10.9
329-1410,262.8,215.8,154.8,7.8
329-1955,293.0,160.6,143.9,10.0
329-2045,144.0,224.7,227.7,10.0
329-2204,179.1,238.3,165.7,10.6
329-2388,144.2,212.2,169.3,9.5
329-2786,194.2,249.4,254.9,12.9
329-2789,226.3,223.0,255.6,13.0
329-2918,149.8,276.3,241.4,10.9
329-3222,117.8,256.8,147.6,7.6
329-3458,91.5,219.9,229.0,12.7
329-4391,170.9,132.3,112.9,11.6
329-4474,175.3,241.3,211.4,7.8
329-5114,257.9,211.6,189.3,9.4
329-5377,102.7,149.3,188.1,11.0
329-5400,230.1,287.6,177.1,6.9
329-6144,154.5,216.2,229.8,13.7
329-6191,239.8,221.9,189.1,7.3
329-6192,141.7,268.3,241.3,8.5
329-6562,170.5,118.2,187.9,11.2
329-6603,129.1,228.5,208.8,12.7
329-6731,123.2,190.0,170.3,12.9
329-7102,132.9,67.0,160.4,9.9
329-7347,170.4,350.5,297.0,11.2
329-8056,160.3,202.4,191.1,7.4
329-8115,145.7,191.0,215.5,11.3
329-8436,97.5,268.1,255.3,13.2
329-8638,124.5,231.7,222.2,6.4
329-8669,237.7,181.5,185.7,7.7
329-8788,235.6,115.9,185.4,16.2
329-9001,157.0,103.1,211.8,7.1
329-9046,148.5,146.5,289.2,9.9
329-9067,249.8,242.4,231.8,11.6
329-9364,202.0,243.2,261.3,10.9
329-9517,165.0,127.3,284.4,7.7
329-9667,251.3,252.5,118.3,9.9
329-9689,224.2,243.3,147.8,12.0
329-9847,251.5,212.8,157.8,9.3
330-1175,81.6,235.6,150.9,9.9
330-1627,125.0,235.3,215.3,10.2
330-1835,171.7,110.4,195.4,11.9
330-2635,115.0,122.3,245.0,6.4
330-2662,283.4,224.1,241.3,14.4
330-2693,161.9,200.9,134.0,10.7
330-2849,241.9,129.4,264.8,5.9
330-2881,261.3,220.9,179.4,11.3
330-3008,220.0,207.7,168.4,12.1
330-3429,116.7,213.8,214.3,9.7
330-3589,174.4,156.3,136.5,10.2
330-4364,132.4,200.3,202.5,6.0
330-4419,157.1,162.6,150.0,12.1
330-4914,52.2,220.1,112.3,11.4
330-4978,268.7,301.0,167.0,5.8
330-5168,214.9,198.2,170.8,8.2
330-5255,130.5,131.2,264.7,13.0
330-5462,103.0,242.3,170.2,7.9
330-5824,258.0,246.5,173.2,10.9
330-6165,95.4,207.2,136.0,5.6
330-6208,150.0,89.8,326.0,11.1
330-6436,302.7,240.5,193.9,13.6
330-6626,166.7,148.3,186.9,10.1
330-6630,207.7,164.8,54.5,7.9
330-7137,186.1,198.6,206.5,13.8
330-7483,176.3,259.2,287.4,6.2
330-7486,138.9,208.9,232.4,9.2
330-7754,145.0,175.8,223.7,16.7
330-8142,144.0,135.8,212.4,13.0
330-8173,258.6,222.0,326.4,11.2
330-8351,183.0,206.7,203.8,11.1
330-9294,190.3,249.0,215.7,10.6
330-9354,249.9,254.5,273.2,8.9
330-9833,198.3,217.1,188.4,12.5
331-1391,242.5,245.4,219.6,10.0
331-2144,208.0,185.0,177.7,8.1
331-3174,69.1,101.3,104.8,9.1
331-3202,213.9,239.8,148.7,9.8
331-3698,124.3,277.1,250.7,15.5
331-3842,153.6,205.5,114.5,12.5
331-4184,238.0,164.5,282.5,10.6
331-4807,203.7,216.4,154.2,7.6
331-4902,214.2,161.7,264.7,9.5
331-5138,110.3,166.5,202.3,9.5
331-5919,137.2,165.9,182.3,14.3
331-5962,274.9,186.6,245.0,8.8
331-5999,192.8,177.0,216.5,16.4
331-6229,214.4,235.2,206.2,8.0
331-6270,118.0,248.1,214.4,5.3
331-6629,169.3,217.9,184.2,9.4
331-7342,222.5,171.5,377.5,9.7
331-7425,215.4,204.8,278.5,12.6
331-8462,96.0,177.0,162.2,9.7
331-8484,82.6,224.4,163.6,9.5
331-8713,135.8,163.2,229.8,12.6
331-8909,68.7,209.2,197.4,11.4
331-9149,196.0,186.0,153.0,9.8
331-9293,155.7,173.7,257.4,8.1
331-9861,153.7,137.8,213.5,15.9
332-1060,143.6,152.4,194.4,8.6
332-1109,191.4,168.5,109.3,10.3
332-1494,97.6,105.5,220.2,11.6
332-1502,90.4,276.2,146.5,12.7
332-1690,192.6,178.9,214.6,9.4
332-2126,163.1,249.4,168.2,9.0
332-2137,105.8,43.9,189.6,13.1
332-2258,123.0,133.9,138.2,13.3
332-2275,185.0,232.5,191.1,14.9
332-2462,60.4,306.2,123.9,12.4
332-2650,103.5,117.9,201.0,12.0
332-2889,167.8,211.0,153.5,10.5
332-2965,159.8,120.4,163.0,10.6
332-3381,87.6,266.9,214.6,9.8
332-3544,196.6,241.4,226.0,12.9
332-3617,181.5,187.0,220.3,10.5
332-3642,131.8,284.3,305.5,11.3
332-3693,124.3,173.4,256.3,7.5
332-3804,86.8,108.1,204.3,13.2
332-4289,136.1,204.2,228.2,11.3
332-4291,152.4,274.6,252.2,6.6
332-5084,176.9,102.8,213.7,10.5
332-5521,157.1,184.9,197.2,8.5
332-5582,91.9,198.4,171.7,13.0
332-5596,103.3,129.1,167.1,10.7
332-5820,224.2,314.9,182.9,16.1
332-5949,257.4,261.1,204.4,13.4
332-5964,146.1,196.2,310.1,9.2
332-6139,146.8,285.6,213.6,4.3
332-6181,334.3,192.1,191.0,10.4
332-6633,142.9,88.6,290.0,10.8
332-6934,149.7,182.2,261.5,9.7
332-6958,105.9,189.6,170.9,12.7
332-7391,242.6,209.0,219.7,14.4
332-7607,161.9,151.2,191.0,8.5
332-8103,273.0,215.5,104.7,9.6
332-8160,180.7,187.8,265.5,12.6
332-8764,202.4,260.2,177.4,9.2
332-9118,209.2,159.7,181.6,9.5
332-9446,154.0,205.9,233.7,12.9
332-9460,176.2,145.0,249.5,5.7
332-9525,166.4,238.3,150.7,10.7
332-9891,140.4,271.8,188.3,11.1
332-9896,211.2,252.7,225.8,12.3
333-1012,171.6,136.1,183.4,10.8
333-1967,170.2,155.2,228.6,15.0
333-2337,188.5,148.3,179.8,15.2
333-2611,194.1,176.6,302.8,7.0
333-2906,245.8,264.7,111.7,11.2
333-2964,136.2,165.1,137.9,9.6
333-3010,168.0,163.2,172.7,8.0
333-3221,214.3,268.5,241.2,10.8
333-3421,149.8,180.0,140.0,11.7
333-3447,246.6,141.4,189.8,13.0
333-3460,198.8,195.5,213.3,16.5
333-3531,176.2,196.0,263.9,9.2
333-3595,176.1,199.7,263.9,8.5
333-3704,245.2,159.0,229.9,7.2
333-4154,202.3,201.5,101.7,6.8
333-4492,190.9,161.4,231.9,8.4
333-4594,201.3,203.7,129.9,6.4
333-5101,120.3,240.4,216.4,7.7
333-5295,278.0,253.2,223.2,8.7
333-5430,121.0,218.9,226.7,12.0
333-5551,152.1,121.0,198.0,9.8
333-5609,155.2,244.5,122.4,10.7
333-5729,163.4,240.1,164.0,11.6
333-6296,216.1,197.5,217.8,9.8
333-6575,193.3,169.0,225.2,11.8
333-7225,190.2,157.1,181.5,14.0
333-7449,17.6,161.7,203.1,10.6
333-7460,226.4,234.7,133.6,10.8
333-7631,322.3,222.0,162.8,6.7
333-7637,117.3,201.1,107.9,12.2
